person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_status,rate_deviation
72000,RENT,3.0,VENTURE,C,16000,15.96,0.22,Y,0,2.4496574845958676
51000,MORTGAGE,6.0,PERSONAL,A,12000,7.66,0.24,N,0,0.3248241517346555
120000,MORTGAGE,1.0,EDUCATION,E,6000,18.64,0.05,Y,0,1.7090386521308218
90000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,14400,7.9,0.16,N,0,0.5648241517346557
68000,MORTGAGE,7.0,PERSONAL,C,15900,13.49,0.25,N,0,-0.02034251540413301
54000,RENT,0.0,MEDICAL,B,12500,11.71,0.24,N,1,0.6752671568627466
32000,RENT,6.0,EDUCATION,D,8000,15.58,0.25,N,1,0.17540127135478834
120000,MORTGAGE,4.0,EDUCATION,A,4000,7.14,0.03,N,0,-0.19517584826534495
70000,MORTGAGE,5.0,VENTURE,B,10000,12.18,0.14,N,0,1.1452671568627455
67000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,16000,7.49,0.24,N,0,0.15482415173465558
92700,OWN,2.0,EDUCATION,B,2000,9.25,0.02,N,0,-1.7847328431372542
58000,RENT,13.0,HOMEIMPROVEMENT,C,15000,14.27,0.26,Y,0,0.7596574845958664
31200,RENT,7.0,MEDICAL,B,2400,11.71,0.08,N,0,0.6752671568627466
90000,MORTGAGE,5.0,PERSONAL,A,12000,6.62,0.13,N,0,-0.7151758482653445
39996,RENT,2.0,DEBTCONSOLIDATION,B,8000,12.53,0.2,N,0,1.4952671568627451
44000,MORTGAGE,13.0,EDUCATION,B,10000,11.86,0.23,N,1,0.8252671568627452
82632,RENT,3.0,DEBTCONSOLIDATION,B,10000,12.21,0.12,N,0,1.1752671568627466
40000,RENT,9.0,EDUCATION,A,8000,7.68,0.2,N,0,0.3448241517346551
66000,RENT,5.0,HOMEIMPROVEMENT,B,10000,10.99,0.15,N,0,-0.04473284313725401
70000,RENT,9.0,EDUCATION,A,20000,6.54,0.29,N,0,-0.7951758482653446
48000,RENT,7.0,MEDICAL,A,8000,8.9,0.17,N,1,1.5648241517346557
90000,MORTGAGE,12.0,EDUCATION,B,6000,9.91,0.07,N,0,-1.124732843137254
34560,RENT,8.0,MEDICAL,E,10000,16.4,0.29,Y,1,-0.5309613478691801
40000,MORTGAGE,3.0,PERSONAL,B,12000,10.36,0.3,N,0,-0.6747328431372548
60000,MORTGAGE,11.0,VENTURE,A,2000,7.66,0.03,N,0,0.3248241517346555
40000,RENT,1.0,MEDICAL,B,14125,9.91,0.35,N,1,-1.124732843137254
54000,RENT,3.0,DEBTCONSOLIDATION,C,3000,14.26,0.06,Y,0,0.7496574845958666
54000,RENT,1.0,PERSONAL,A,9600,9.32,0.18,N,1,1.9848241517346557
60000,RENT,2.0,VENTURE,A,5500,5.42,0.09,N,0,-1.9151758482653447
60000,RENT,5.0,PERSONAL,E,17200,17.06,0.28,Y,0,0.12903865213082
50000,RENT,5.0,PERSONAL,C,4200,15.23,0.08,Y,0,1.7196574845958672
80000,MORTGAGE,7.0,VENTURE,A,2000,7.51,0.02,N,0,0.17482415173465515
90000,MORTGAGE,2.0,VENTURE,A,15000,9.38,0.17,N,0,2.044824151734656
120000,MORTGAGE,13.0,VENTURE,C,7200,14.72,0.06,Y,0,1.2096574845958674
30000,RENT,2.0,MEDICAL,A,12000,7.51,0.4,N,1,0.17482415173465515
62900,MORTGAGE,2.0,MEDICAL,D,18000,14.09,0.24,N,1,-1.3145987286452119
40000,RENT,3.0,MEDICAL,C,3000,13.22,0.07,N,0,-0.2903425154041326
68000,MORTGAGE,0.0,MEDICAL,A,5000,8.9,0.07,N,0,1.5648241517346557
75000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,12000,7.51,0.16,N,0,0.17482415173465515
31200,RENT,1.0,PERSONAL,C,3200,13.11,0.1,Y,0,-0.4003425154041338
24000,RENT,4.0,MEDICAL,B,3000,10.95,0.13,N,0,-0.08473284313725493
100000,MORTGAGE,7.0,EDUCATION,A,6000,7.74,0.06,N,0,0.4048241517346556
27000,OWN,0.0,PERSONAL,A,12000,7.51,0.44,N,0,0.17482415173465515
70000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,7.29,0.14,N,0,-0.0451758482653446
42000,RENT,3.0,VENTURE,B,2000,11.49,0.05,N,0,0.455267156862746
120000,RENT,0.0,DEBTCONSOLIDATION,B,20000,10.37,0.17,N,0,-0.664732843137255
90000,MORTGAGE,8.0,PERSONAL,A,10000,5.99,0.11,N,0,-1.3451758482653444
60000,RENT,2.0,DEBTCONSOLIDATION,B,7000,10.62,0.12,N,0,-0.414732843137255
45600,RENT,6.0,DEBTCONSOLIDATION,A,23500,7.66,0.5,N,1,0.3248241517346555
75000,RENT,3.0,PERSONAL,B,15000,11.49,0.2,N,0,0.455267156862746
75000,RENT,0.0,PERSONAL,A,10000,6.99,0.13,N,0,-0.3451758482653444
70000,RENT,2.0,HOMEIMPROVEMENT,B,16000,12.18,0.23,N,0,1.1452671568627455
74000,MORTGAGE,14.0,DEBTCONSOLIDATION,D,7000,15.62,0.09,N,1,0.21540127135478748
112000,MORTGAGE,21.0,MEDICAL,A,5000,7.9,0.04,N,0,0.5648241517346557
30000,RENT,0.0,VENTURE,A,12000,8.94,0.4,N,1,1.6048241517346549
110000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,6000,11.71,0.05,N,0,0.6752671568627466
42000,RENT,3.0,DEBTCONSOLIDATION,B,3550,11.99,0.08,N,0,0.955267156862746
65000,MORTGAGE,2.0,VENTURE,D,5000,15.2,0.07,Y,0,-0.20459872864521245
175000,RENT,0.0,MEDICAL,C,3000,14.26,0.01,Y,0,0.7496574845958666
150000,MORTGAGE,1.0,VENTURE,B,20000,11.58,0.13,N,0,0.5452671568627458
70000,MORTGAGE,0.0,EDUCATION,C,6000,12.53,0.09,Y,0,-0.9803425154041339
33000,RENT,4.0,PERSONAL,B,9800,10.62,0.28,N,0,-0.414732843137255
96000,MORTGAGE,5.0,PERSONAL,A,15000,5.99,0.16,N,0,-1.3451758482653444
70000,RENT,9.0,HOMEIMPROVEMENT,B,12000,11.48,0.17,N,0,0.4452671568627462
36000,MORTGAGE,1.0,MEDICAL,A,8000,6.91,0.22,N,0,-0.4251758482653445
34000,RENT,9.0,HOMEIMPROVEMENT,D,3000,16.32,0.08,Y,1,0.9154012713547885
70000,RENT,0.0,EDUCATION,B,15000,10.99,0.21,N,0,-0.04473284313725401
100000,MORTGAGE,6.0,PERSONAL,B,15000,11.49,0.15,N,0,0.455267156862746
82000,RENT,7.0,HOMEIMPROVEMENT,B,24000,12.53,0.3,N,0,1.4952671568627451
85000,RENT,3.0,EDUCATION,B,8000,10.25,0.09,N,0,-0.7847328431372542
110000,MORTGAGE,3.0,VENTURE,A,15000,8.94,0.14,N,0,1.6048241517346549
46000,MORTGAGE,17.0,PERSONAL,C,6000,12.68,0.13,Y,0,-0.8303425154041335
30000,OWN,10.0,MEDICAL,A,6000,5.42,0.2,N,0,-1.9151758482653447
95000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,14000,10.65,0.15,N,0,-0.38473284313725387
62900,RENT,8.0,MEDICAL,D,18000,14.96,0.24,N,1,-0.4445987286452109
80496,OWN,0.0,HOMEIMPROVEMENT,A,20000,6.91,0.25,N,0,-0.4251758482653445
76000,RENT,2.0,VENTURE,C,14000,12.61,0.19,N,0,-0.9003425154041338
55000,RENT,1.0,EDUCATION,A,8000,7.14,0.15,N,0,-0.19517584826534495
106925,MORTGAGE,11.0,MEDICAL,B,19500,10.99,0.18,N,0,-0.04473284313725401
65000,RENT,0.0,PERSONAL,A,3000,5.79,0.05,N,0,-1.5451758482653446
85000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,13.06,0.07,Y,0,-0.4503425154041327
30000,RENT,5.0,HOMEIMPROVEMENT,C,6500,14.27,0.22,N,1,0.7596574845958664
170000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,17500,5.99,0.1,N,0,-1.3451758482653444
47000,MORTGAGE,9.0,HOMEIMPROVEMENT,C,4500,13.49,0.1,Y,1,-0.02034251540413301
50000,OWN,1.0,EDUCATION,C,2000,12.99,0.04,N,0,-0.520342515404133
120000,RENT,7.0,EDUCATION,B,16000,10.74,0.13,N,0,-0.294732843137254
40000,MORTGAGE,6.0,EDUCATION,B,6000,11.49,0.15,N,0,0.455267156862746
60000,RENT,2.0,EDUCATION,C,19750,14.27,0.34,Y,0,0.7596574845958664
30000,RENT,3.0,MEDICAL,B,10000,11.14,0.33,N,1,0.10526715686274635
114750,RENT,4.0,MEDICAL,A,6000,7.9,0.05,N,1,0.5648241517346557
54000,MORTGAGE,12.0,PERSONAL,A,12000,6.62,0.22,N,0,-0.7151758482653445
30000,RENT,1.0,VENTURE,D,4000,14.84,0.13,Y,1,-0.5645987286452119
50000,RENT,1.0,VENTURE,A,3000,7.51,0.06,N,0,0.17482415173465515
31000,RENT,5.0,EDUCATION,B,10000,11.49,0.32,N,1,0.455267156862746
50000,RENT,7.0,EDUCATION,B,15000,10.99,0.3,N,0,-0.04473284313725401
60000,MORTGAGE,8.0,VENTURE,A,6000,8.59,0.1,N,0,1.2548241517346552
78000,RENT,1.0,HOMEIMPROVEMENT,B,24000,10.25,0.31,N,1,-0.7847328431372542
79992,MORTGAGE,1.0,DEBTCONSOLIDATION,B,6000,12.53,0.08,N,0,1.4952671568627451
110000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,28000,7.49,0.25,N,0,0.15482415173465558
150000,RENT,16.0,HOMEIMPROVEMENT,A,25000,7.88,0.17,N,0,0.5448241517346553
25000,RENT,0.0,MEDICAL,B,5000,10.99,0.2,N,0,-0.04473284313725401
36000,RENT,2.0,DEBTCONSOLIDATION,B,8000,11.49,0.22,N,1,0.455267156862746
72000,RENT,7.0,MEDICAL,A,15000,7.51,0.21,N,0,0.17482415173465515
42000,RENT,2.0,DEBTCONSOLIDATION,C,4800,15.23,0.11,N,0,1.7196574845958672
44004,RENT,2.0,PERSONAL,D,18250,15.31,0.4,N,1,-0.09459872864521124
96000,MORTGAGE,12.0,PERSONAL,B,5000,12.69,0.05,N,0,1.6552671568627453
65000,MORTGAGE,0.0,PERSONAL,B,5200,9.91,0.08,N,0,-1.124732843137254
54833,RENT,6.0,MEDICAL,B,10000,11.36,0.18,N,1,0.3252671568627452
51000,RENT,1.0,VENTURE,A,8400,7.14,0.17,N,0,-0.19517584826534495
50000,RENT,3.0,EDUCATION,B,18650,11.71,0.37,N,1,0.6752671568627466
60000,RENT,3.0,MEDICAL,A,3600,5.99,0.06,N,0,-1.3451758482653444
175000,MORTGAGE,7.0,EDUCATION,A,24000,7.49,0.12,N,0,0.15482415173465558
54000,MORTGAGE,16.0,MEDICAL,A,5000,6.03,0.09,N,0,-1.3051758482653444
47412,MORTGAGE,0.0,EDUCATION,A,6500,8.59,0.14,N,0,1.2548241517346552
63000,MORTGAGE,3.0,EDUCATION,A,4000,6.92,0.06,N,0,-0.4151758482653447
55000,MORTGAGE,6.0,MEDICAL,B,2800,11.49,0.05,N,0,0.455267156862746
56000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,12000,10.46,0.21,N,0,-0.5747328431372534
84996,MORTGAGE,7.0,PERSONAL,B,8000,11.99,0.09,N,0,0.955267156862746
66847,RENT,3.0,PERSONAL,D,10000,16.29,0.15,Y,0,0.8854012713547874
60000,RENT,1.0,EDUCATION,B,12500,11.49,0.21,N,0,0.455267156862746
52000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,7800,9.07,0.15,N,0,1.7348241517346557
24996,RENT,2.0,PERSONAL,C,5400,13.48,0.21,Y,0,-0.030342515404132797
54996,RENT,3.0,MEDICAL,B,5000,10.36,0.09,N,0,-0.6747328431372548
86400,MORTGAGE,8.0,MEDICAL,A,12000,5.79,0.14,N,0,-1.5451758482653446
65000,MORTGAGE,5.0,VENTURE,A,12000,7.49,0.18,N,0,0.15482415173465558
42000,RENT,1.0,DEBTCONSOLIDATION,B,4000,9.99,0.1,N,0,-1.044732843137254
62500,MORTGAGE,7.0,VENTURE,B,20000,10.25,0.32,N,0,-0.7847328431372542
130000,MORTGAGE,5.0,EDUCATION,B,13000,10.75,0.1,N,0,-0.2847328431372542
60000,RENT,7.0,MEDICAL,A,6000,7.51,0.1,N,0,0.17482415173465515
40000,RENT,3.0,EDUCATION,B,1850,10.25,0.04,N,0,-0.7847328431372542
59000,RENT,2.0,DEBTCONSOLIDATION,D,8000,14.96,0.14,Y,1,-0.4445987286452109
55000,MORTGAGE,2.0,VENTURE,B,10800,9.91,0.2,N,0,-1.124732843137254
66000,RENT,0.0,PERSONAL,A,3500,7.14,0.05,N,0,-0.19517584826534495
75000,MORTGAGE,4.0,VENTURE,C,15250,11.34,0.2,Y,0,-2.1703425154041334
58200,MORTGAGE,1.0,VENTURE,B,14000,10.74,0.24,N,0,-0.294732843137254
117000,RENT,8.0,PERSONAL,C,8000,13.06,0.07,Y,0,-0.4503425154041327
70000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,10000,9.99,0.14,N,0,-1.044732843137254
48000,RENT,2.0,EDUCATION,B,3500,11.49,0.07,N,0,0.455267156862746
88000,MORTGAGE,4.0,EDUCATION,B,15000,10.62,0.17,N,0,-0.414732843137255
35000,RENT,2.0,VENTURE,A,4000,9.32,0.11,N,0,1.9848241517346557
31200,RENT,3.0,EDUCATION,C,2250,13.35,0.07,Y,0,-0.16034251540413358
82600,OWN,10.0,PERSONAL,B,20000,10.99,0.24,N,0,-0.04473284313725401
54996,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,8.94,0.19,N,0,1.6048241517346549
75000,RENT,2.0,VENTURE,B,20000,10.99,0.27,N,0,-0.04473284313725401
65000,MORTGAGE,2.0,MEDICAL,A,14000,7.51,0.22,N,0,0.17482415173465515
75000,MORTGAGE,1.0,MEDICAL,B,3600,12.69,0.05,N,0,1.6552671568627453
105000,RENT,3.0,EDUCATION,B,15000,11.86,0.14,N,0,0.8252671568627452
90000,RENT,7.0,MEDICAL,B,12000,12.42,0.13,N,0,1.3852671568627457
38400,MORTGAGE,6.0,DEBTCONSOLIDATION,A,7800,7.9,0.19,N,0,0.5648241517346557
100000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15000,11.99,0.15,N,0,0.955267156862746
39000,MORTGAGE,12.0,DEBTCONSOLIDATION,A,6000,6.91,0.15,N,0,-0.4251758482653445
65000,MORTGAGE,21.0,VENTURE,D,7000,16.07,0.11,N,0,0.6654012713547885
58000,RENT,0.0,EDUCATION,B,1500,12.18,0.03,N,0,1.1452671568627455
45504,RENT,3.0,EDUCATION,C,8700,13.11,0.18,Y,1,-0.4003425154041338
101000,RENT,0.0,HOMEIMPROVEMENT,C,20000,14.22,0.2,N,0,0.7096574845958674
40000,RENT,2.0,EDUCATION,B,1500,11.86,0.04,N,0,0.8252671568627452
102000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,18000,11.49,0.18,N,0,0.455267156862746
48996,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,6.17,0.2,N,0,-1.1651758482653447
75000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,24000,10.36,0.32,N,0,-0.6747328431372548
80000,OWN,0.0,VENTURE,D,9600,15.31,0.12,N,0,-0.09459872864521124
40000,RENT,1.0,MEDICAL,B,3000,12.18,0.07,N,0,1.1452671568627455
39000,MORTGAGE,6.0,MEDICAL,D,3000,15.62,0.08,N,1,0.21540127135478748
57000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,20000,10.99,0.35,N,0,-0.04473284313725401
37148,RENT,2.0,DEBTCONSOLIDATION,A,2000,6.39,0.05,N,0,-0.945175848265345
75000,RENT,8.0,PERSONAL,C,10000,13.49,0.13,N,0,-0.02034251540413301
95000,MORTGAGE,6.0,VENTURE,C,18000,13.79,0.19,N,0,0.2796574845958659
30000,RENT,0.0,DEBTCONSOLIDATION,C,6000,13.49,0.2,Y,0,-0.02034251540413301
90000,MORTGAGE,6.0,EDUCATION,B,14000,10.99,0.16,N,0,-0.04473284313725401
75531,RENT,4.0,DEBTCONSOLIDATION,A,12000,7.49,0.17,N,0,0.15482415173465558
75000,MORTGAGE,9.0,PERSONAL,B,8000,11.26,0.11,N,0,0.22526715686274557
110000,MORTGAGE,13.0,PERSONAL,A,10000,7.14,0.09,N,0,-0.19517584826534495
35000,RENT,0.0,VENTURE,B,6000,12.21,0.17,N,0,1.1752671568627466
85000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,5500,10.99,0.06,N,0,-0.04473284313725401
100000,MORTGAGE,2.0,VENTURE,A,11000,7.66,0.11,N,0,0.3248241517346555
38400,MORTGAGE,7.0,PERSONAL,C,15000,12.99,0.39,N,0,-0.520342515404133
50000,RENT,4.0,DEBTCONSOLIDATION,B,6000,12.42,0.12,N,0,1.3852671568627457
32640,RENT,9.0,VENTURE,B,4800,11.11,0.15,N,0,0.07526715686274521
33000,RENT,2.0,MEDICAL,B,4000,10.25,0.12,N,0,-0.7847328431372542
42000,RENT,1.0,PERSONAL,C,4800,12.73,0.11,Y,0,-0.7803425154041328
65000,RENT,8.0,PERSONAL,C,10000,13.99,0.15,N,0,0.479657484595867
50000,RENT,0.0,PERSONAL,E,4000,13.93,0.08,N,0,-3.000961347869179
62000,MORTGAGE,7.0,PERSONAL,B,5000,11.83,0.08,N,0,0.7952671568627458
75000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,15000,11.48,0.2,N,0,0.4452671568627462
42000,RENT,0.0,VENTURE,B,5000,9.99,0.12,N,0,-1.044732843137254
120000,RENT,4.0,DEBTCONSOLIDATION,C,16800,14.26,0.13,Y,0,0.7496574845958666
130000,MORTGAGE,8.0,MEDICAL,B,14500,12.69,0.11,N,0,1.6552671568627453
115000,MORTGAGE,3.0,EDUCATION,A,5000,6.03,0.04,N,0,-1.3051758482653444
61500,RENT,3.0,HOMEIMPROVEMENT,C,15000,13.23,0.24,Y,0,-0.2803425154041328
42000,RENT,8.0,DEBTCONSOLIDATION,D,5000,14.91,0.12,N,1,-0.4945987286452116
82000,MORTGAGE,21.0,PERSONAL,A,10000,6.99,0.12,N,0,-0.3451758482653444
95000,RENT,1.0,EDUCATION,B,2400,10.37,0.03,N,0,-0.664732843137255
30000,RENT,0.0,HOMEIMPROVEMENT,B,15000,11.36,0.5,N,1,0.3252671568627452
72000,RENT,8.0,MEDICAL,A,14000,7.88,0.19,N,0,0.5448241517346553
56000,MORTGAGE,7.0,MEDICAL,C,6000,14.27,0.11,N,0,0.7596574845958664
60000,MORTGAGE,7.0,EDUCATION,C,6200,15.96,0.1,N,0,2.4496574845958676
50000,RENT,4.0,VENTURE,B,4000,11.49,0.08,N,0,0.455267156862746
26785,OWN,3.0,MEDICAL,A,8500,7.9,0.34,N,0,0.5648241517346557
75000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,5000,12.69,0.07,N,0,1.6552671568627453
52800,OWN,3.0,VENTURE,C,14000,11.34,0.27,N,0,-2.1703425154041334
62400,MORTGAGE,0.0,PERSONAL,B,12000,10.39,0.19,N,0,-0.6447328431372537
132000,MORTGAGE,12.0,HOMEIMPROVEMENT,F,20000,17.46,0.15,N,0,-1.1509395973154355
65000,RENT,1.0,MEDICAL,B,12000,12.18,0.18,N,0,1.1452671568627455
44004,RENT,2.0,PERSONAL,B,11000,11.46,0.25,N,1,0.42526715686274663
40000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,8000,8.59,0.2,N,0,1.2548241517346552
50000,RENT,1.0,HOMEIMPROVEMENT,A,10000,6.62,0.2,N,0,-0.7151758482653445
55000,RENT,3.0,PERSONAL,C,12000,13.49,0.22,N,0,-0.02034251540413301
40000,RENT,5.0,MEDICAL,C,9000,13.61,0.23,Y,0,0.09965748459586621
55000,MORTGAGE,6.0,MEDICAL,A,6800,6.99,0.12,N,0,-0.3451758482653444
80750,MORTGAGE,7.0,MEDICAL,D,20000,15.99,0.25,N,1,0.5854012713547885
68000,RENT,4.0,EDUCATION,D,5000,15.05,0.07,N,0,-0.354598728645211
50004,MORTGAGE,5.0,VENTURE,B,3000,11.12,0.06,N,0,0.085267156862745
78996,RENT,13.0,PERSONAL,D,12000,15.05,0.15,N,0,-0.354598728645211
55000,MORTGAGE,5.0,EDUCATION,B,2000,12.69,0.04,N,0,1.6552671568627453
24000,RENT,0.0,PERSONAL,B,8000,10.95,0.33,N,1,-0.08473284313725493
80000,RENT,4.0,PERSONAL,E,6400,16.4,0.08,N,1,-0.5309613478691801
45000,OWN,2.0,VENTURE,B,7000,9.88,0.16,N,0,-1.1547328431372534
100000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,35000,12.73,0.35,Y,0,-0.7803425154041328
60000,RENT,3.0,EDUCATION,A,12000,7.51,0.2,N,0,0.17482415173465515
38400,OWN,8.0,EDUCATION,C,9600,13.61,0.25,Y,0,0.09965748459586621
42000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,6000,13.49,0.14,Y,0,-0.02034251540413301
107500,MORTGAGE,11.0,MEDICAL,A,10000,7.9,0.09,N,0,0.5648241517346557
90000,RENT,8.0,PERSONAL,B,16000,10.62,0.18,N,0,-0.414732843137255
83000,MORTGAGE,3.0,EDUCATION,D,12000,15.62,0.14,Y,0,0.21540127135478748
60000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5000,6.54,0.08,N,0,-0.7951758482653446
55000,MORTGAGE,7.0,MEDICAL,B,3200,10.99,0.06,N,0,-0.04473284313725401
85000,OWN,3.0,VENTURE,C,10000,14.27,0.12,N,0,0.7596574845958664
42000,RENT,4.0,VENTURE,B,4000,10.74,0.1,N,0,-0.294732843137254
110000,RENT,2.0,VENTURE,B,10000,11.48,0.09,N,0,0.4452671568627462
55000,MORTGAGE,16.0,VENTURE,D,12500,15.7,0.23,N,0,0.29540127135478755
110000,MORTGAGE,11.0,MEDICAL,A,10000,7.51,0.09,N,0,0.17482415173465515
50000,RENT,0.0,MEDICAL,B,10000,10.95,0.2,N,0,-0.08473284313725493
43000,MORTGAGE,5.0,VENTURE,A,5000,8.94,0.12,N,0,1.6048241517346549
43200,RENT,1.0,MEDICAL,A,10000,7.49,0.23,N,0,0.15482415173465558
54000,RENT,5.0,VENTURE,B,12000,10.99,0.22,N,0,-0.04473284313725401
60000,RENT,3.0,PERSONAL,D,10000,15.33,0.17,N,0,-0.07459872864521166
52273,RENT,1.0,EDUCATION,B,4000,10.65,0.08,N,0,-0.38473284313725387
65000,RENT,2.0,EDUCATION,C,8000,12.68,0.12,N,0,-0.8303425154041335
45000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8800,8.49,0.19,N,0,1.1548241517346556
88000,RENT,2.0,PERSONAL,A,4000,7.51,0.05,N,0,0.17482415173465515
30000,OWN,2.0,PERSONAL,C,8000,14.26,0.27,Y,0,0.7496574845958666
125000,MORTGAGE,4.0,HOMEIMPROVEMENT,E,30000,19.69,0.24,N,0,2.7590386521308226
60000,RENT,7.0,EDUCATION,A,3000,7.9,0.05,N,0,0.5648241517346557
45000,RENT,4.0,MEDICAL,A,7000,7.51,0.16,N,0,0.17482415173465515
34296,RENT,7.0,DEBTCONSOLIDATION,B,12000,11.89,0.35,N,1,0.8552671568627463
69500,RENT,7.0,VENTURE,C,12000,13.23,0.17,N,0,-0.2803425154041328
85000,MORTGAGE,18.0,EDUCATION,B,20000,10.65,0.24,N,0,-0.38473284313725387
58000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,3500,7.51,0.06,N,0,0.17482415173465515
50000,RENT,6.0,EDUCATION,B,5000,10.99,0.1,N,0,-0.04473284313725401
42000,RENT,11.0,PERSONAL,B,1000,9.76,0.02,N,0,-1.2747328431372544
52000,RENT,1.0,HOMEIMPROVEMENT,D,6000,14.59,0.12,Y,1,-0.8145987286452119
60000,MORTGAGE,14.0,PERSONAL,B,2000,10.65,0.03,N,0,-0.38473284313725387
25000,RENT,1.0,HOMEIMPROVEMENT,C,9250,12.87,0.39,N,1,-0.640342515404134
70000,MORTGAGE,6.0,EDUCATION,A,6000,7.49,0.09,N,0,0.15482415173465558
70000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,16100,11.83,0.23,N,0,0.7952671568627458
85000,MORTGAGE,0.0,PERSONAL,A,10000,7.49,0.12,N,0,0.15482415173465558
42000,MORTGAGE,14.0,EDUCATION,B,3500,10.65,0.08,N,0,-0.38473284313725387
