person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_status
60000,RENT,5.0,PERSONAL,E,17200,17.06,0.28,Y,0
50000,RENT,5.0,PERSONAL,C,4200,15.23,0.08,Y,0
80000,MORTGAGE,7.0,VENTURE,A,2000,7.51,0.02,N,0
90000,MORTGAGE,2.0,VENTURE,A,15000,9.38,0.17,N,0
120000,MORTGAGE,13.0,VENTURE,C,7200,14.72,0.06,Y,0
30000,RENT,2.0,MEDICAL,A,12000,7.51,0.4,N,1
62900,MORTGAGE,2.0,MEDICAL,D,18000,14.09,0.24,N,1
40000,RENT,3.0,MEDICAL,C,3000,13.22,0.07,N,0
68000,MORTGAGE,0.0,MEDICAL,A,5000,8.9,0.07,N,0
75000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,12000,7.51,0.16,N,0
31200,RENT,1.0,PERSONAL,C,3200,13.11,0.1,Y,0
24000,RENT,4.0,MEDICAL,B,3000,10.95,0.13,N,0
100000,MORTGAGE,7.0,EDUCATION,A,6000,7.74,0.06,N,0
27000,OWN,0.0,PERSONAL,A,12000,7.51,0.44,N,0
70000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,7.29,0.14,N,0
42000,RENT,3.0,VENTURE,B,2000,11.49,0.05,N,0
120000,RENT,0.0,DEBTCONSOLIDATION,B,20000,10.37,0.17,N,0
90000,MORTGAGE,8.0,PERSONAL,A,10000,5.99,0.11,N,0
60000,RENT,2.0,DEBTCONSOLIDATION,B,7000,10.62,0.12,N,0
45600,RENT,6.0,DEBTCONSOLIDATION,A,23500,7.66,0.5,N,1
75000,RENT,3.0,PERSONAL,B,15000,11.49,0.2,N,0
75000,RENT,0.0,PERSONAL,A,10000,6.99,0.13,N,0
70000,RENT,2.0,HOMEIMPROVEMENT,B,16000,12.18,0.23,N,0
74000,MORTGAGE,14.0,DEBTCONSOLIDATION,D,7000,15.62,0.09,N,1
112000,MORTGAGE,21.0,MEDICAL,A,5000,7.9,0.04,N,0
30000,RENT,0.0,VENTURE,A,12000,8.94,0.4,N,1
110000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,6000,11.71,0.05,N,0
42000,RENT,3.0,DEBTCONSOLIDATION,B,3550,11.99,0.08,N,0
65000,MORTGAGE,2.0,VENTURE,D,5000,15.2,0.07,Y,0
175000,RENT,0.0,MEDICAL,C,3000,14.26,0.01,Y,0
150000,MORTGAGE,1.0,VENTURE,B,20000,11.58,0.13,N,0
70000,MORTGAGE,0.0,EDUCATION,C,6000,12.53,0.09,Y,0
33000,RENT,4.0,PERSONAL,B,9800,10.62,0.28,N,0
96000,MORTGAGE,5.0,PERSONAL,A,15000,5.99,0.16,N,0
70000,RENT,9.0,HOMEIMPROVEMENT,B,12000,11.48,0.17,N,0
36000,MORTGAGE,1.0,MEDICAL,A,8000,6.91,0.22,N,0
34000,RENT,9.0,HOMEIMPROVEMENT,D,3000,16.32,0.08,Y,1
70000,RENT,0.0,EDUCATION,B,15000,10.99,0.21,N,0
100000,MORTGAGE,6.0,PERSONAL,B,15000,11.49,0.15,N,0
82000,RENT,7.0,HOMEIMPROVEMENT,B,24000,12.53,0.3,N,0
85000,RENT,3.0,EDUCATION,B,8000,10.25,0.09,N,0
110000,MORTGAGE,3.0,VENTURE,A,15000,8.94,0.14,N,0
46000,MORTGAGE,17.0,PERSONAL,C,6000,12.68,0.13,Y,0
30000,OWN,10.0,MEDICAL,A,6000,5.42,0.2,N,0
95000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,14000,10.65,0.15,N,0
62900,RENT,8.0,MEDICAL,D,18000,14.96,0.24,N,1
80496,OWN,0.0,HOMEIMPROVEMENT,A,20000,6.91,0.25,N,0
76000,RENT,2.0,VENTURE,C,14000,12.61,0.19,N,0
55000,RENT,1.0,EDUCATION,A,8000,7.14,0.15,N,0
106925,MORTGAGE,11.0,MEDICAL,B,19500,10.99,0.18,N,0
65000,RENT,0.0,PERSONAL,A,3000,5.79,0.05,N,0
85000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,13.06,0.07,Y,0
30000,RENT,5.0,HOMEIMPROVEMENT,C,6500,14.27,0.22,N,1
170000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,17500,5.99,0.1,N,0
47000,MORTGAGE,9.0,HOMEIMPROVEMENT,C,4500,13.49,0.1,Y,1
50000,OWN,1.0,EDUCATION,C,2000,12.99,0.04,N,0
120000,RENT,7.0,EDUCATION,B,16000,10.74,0.13,N,0
40000,MORTGAGE,6.0,EDUCATION,B,6000,11.49,0.15,N,0
60000,RENT,2.0,EDUCATION,C,19750,14.27,0.34,Y,0
30000,RENT,3.0,MEDICAL,B,10000,11.14,0.33,N,1
114750,RENT,4.0,MEDICAL,A,6000,7.9,0.05,N,1
54000,MORTGAGE,12.0,PERSONAL,A,12000,6.62,0.22,N,0
30000,RENT,1.0,VENTURE,D,4000,14.84,0.13,Y,1
50000,RENT,1.0,VENTURE,A,3000,7.51,0.06,N,0
31000,RENT,5.0,EDUCATION,B,10000,11.49,0.32,N,1
50000,RENT,7.0,EDUCATION,B,15000,10.99,0.3,N,0
60000,MORTGAGE,8.0,VENTURE,A,6000,8.59,0.1,N,0
78000,RENT,1.0,HOMEIMPROVEMENT,B,24000,10.25,0.31,N,1
79992,MORTGAGE,1.0,DEBTCONSOLIDATION,B,6000,12.53,0.08,N,0
110000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,28000,7.49,0.25,N,0
150000,RENT,16.0,HOMEIMPROVEMENT,A,25000,7.88,0.17,N,0
25000,RENT,0.0,MEDICAL,B,5000,10.99,0.2,N,0
36000,RENT,2.0,DEBTCONSOLIDATION,B,8000,11.49,0.22,N,1
72000,RENT,7.0,MEDICAL,A,15000,7.51,0.21,N,0
42000,RENT,2.0,DEBTCONSOLIDATION,C,4800,15.23,0.11,N,0
44004,RENT,2.0,PERSONAL,D,18250,15.31,0.4,N,1
96000,MORTGAGE,12.0,PERSONAL,B,5000,12.69,0.05,N,0
65000,MORTGAGE,0.0,PERSONAL,B,5200,9.91,0.08,N,0
54833,RENT,6.0,MEDICAL,B,10000,11.36,0.18,N,1
51000,RENT,1.0,VENTURE,A,8400,7.14,0.17,N,0
50000,RENT,3.0,EDUCATION,B,18650,11.71,0.37,N,1
60000,RENT,3.0,MEDICAL,A,3600,5.99,0.06,N,0
175000,MORTGAGE,7.0,EDUCATION,A,24000,7.49,0.12,N,0
54000,MORTGAGE,16.0,MEDICAL,A,5000,6.03,0.09,N,0
47412,MORTGAGE,0.0,EDUCATION,A,6500,8.59,0.14,N,0
63000,MORTGAGE,3.0,EDUCATION,A,4000,6.92,0.06,N,0
55000,MORTGAGE,6.0,MEDICAL,B,2800,11.49,0.05,N,0
56000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,12000,10.46,0.21,N,0
84996,MORTGAGE,7.0,PERSONAL,B,8000,11.99,0.09,N,0
66847,RENT,3.0,PERSONAL,D,10000,16.29,0.15,Y,0
60000,RENT,1.0,EDUCATION,B,12500,11.49,0.21,N,0
52000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,7800,9.07,0.15,N,0
24996,RENT,2.0,PERSONAL,C,5400,13.48,0.21,Y,0
54996,RENT,3.0,MEDICAL,B,5000,10.36,0.09,N,0
86400,MORTGAGE,8.0,MEDICAL,A,12000,5.79,0.14,N,0
65000,MORTGAGE,5.0,VENTURE,A,12000,7.49,0.18,N,0
42000,RENT,1.0,DEBTCONSOLIDATION,B,4000,9.99,0.1,N,0
62500,MORTGAGE,7.0,VENTURE,B,20000,10.25,0.32,N,0
130000,MORTGAGE,5.0,EDUCATION,B,13000,10.75,0.1,N,0
60000,RENT,7.0,MEDICAL,A,6000,7.51,0.1,N,0
40000,RENT,3.0,EDUCATION,B,1850,10.25,0.04,N,0
59000,RENT,2.0,DEBTCONSOLIDATION,D,8000,14.96,0.14,Y,1
55000,MORTGAGE,2.0,VENTURE,B,10800,9.91,0.2,N,0
66000,RENT,0.0,PERSONAL,A,3500,7.14,0.05,N,0
75000,MORTGAGE,4.0,VENTURE,C,15250,11.34,0.2,Y,0
58200,MORTGAGE,1.0,VENTURE,B,14000,10.74,0.24,N,0
117000,RENT,8.0,PERSONAL,C,8000,13.06,0.07,Y,0
70000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,10000,9.99,0.14,N,0
48000,RENT,2.0,EDUCATION,B,3500,11.49,0.07,N,0
88000,MORTGAGE,4.0,EDUCATION,B,15000,10.62,0.17,N,0
35000,RENT,2.0,VENTURE,A,4000,9.32,0.11,N,0
31200,RENT,3.0,EDUCATION,C,2250,13.35,0.07,Y,0
82600,OWN,10.0,PERSONAL,B,20000,10.99,0.24,N,0
54996,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,8.94,0.19,N,0
75000,RENT,2.0,VENTURE,B,20000,10.99,0.27,N,0
65000,MORTGAGE,2.0,MEDICAL,A,14000,7.51,0.22,N,0
75000,MORTGAGE,1.0,MEDICAL,B,3600,12.69,0.05,N,0
105000,RENT,3.0,EDUCATION,B,15000,11.86,0.14,N,0
90000,RENT,7.0,MEDICAL,B,12000,12.42,0.13,N,0
38400,MORTGAGE,6.0,DEBTCONSOLIDATION,A,7800,7.9,0.19,N,0
100000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15000,11.99,0.15,N,0
39000,MORTGAGE,12.0,DEBTCONSOLIDATION,A,6000,6.91,0.15,N,0
65000,MORTGAGE,21.0,VENTURE,D,7000,16.07,0.11,N,0
58000,RENT,0.0,EDUCATION,B,1500,12.18,0.03,N,0
45504,RENT,3.0,EDUCATION,C,8700,13.11,0.18,Y,1
101000,RENT,0.0,HOMEIMPROVEMENT,C,20000,14.22,0.2,N,0
40000,RENT,2.0,EDUCATION,B,1500,11.86,0.04,N,0
102000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,18000,11.49,0.18,N,0
48996,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,6.17,0.2,N,0
75000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,24000,10.36,0.32,N,0
80000,OWN,0.0,VENTURE,D,9600,15.31,0.12,N,0
40000,RENT,1.0,MEDICAL,B,3000,12.18,0.07,N,0
39000,MORTGAGE,6.0,MEDICAL,D,3000,15.62,0.08,N,1
57000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,20000,10.99,0.35,N,0
37148,RENT,2.0,DEBTCONSOLIDATION,A,2000,6.39,0.05,N,0
75000,RENT,8.0,PERSONAL,C,10000,13.49,0.13,N,0
95000,MORTGAGE,6.0,VENTURE,C,18000,13.79,0.19,N,0
30000,RENT,0.0,DEBTCONSOLIDATION,C,6000,13.49,0.2,Y,0
90000,MORTGAGE,6.0,EDUCATION,B,14000,10.99,0.16,N,0
75531,RENT,4.0,DEBTCONSOLIDATION,A,12000,7.49,0.17,N,0
75000,MORTGAGE,9.0,PERSONAL,B,8000,11.26,0.11,N,0
110000,MORTGAGE,13.0,PERSONAL,A,10000,7.14,0.09,N,0
35000,RENT,0.0,VENTURE,B,6000,12.21,0.17,N,0
85000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,5500,10.99,0.06,N,0
100000,MORTGAGE,2.0,VENTURE,A,11000,7.66,0.11,N,0
38400,MORTGAGE,7.0,PERSONAL,C,15000,12.99,0.39,N,0
50000,RENT,4.0,DEBTCONSOLIDATION,B,6000,12.42,0.12,N,0
32640,RENT,9.0,VENTURE,B,4800,11.11,0.15,N,0
33000,RENT,2.0,MEDICAL,B,4000,10.25,0.12,N,0
42000,RENT,1.0,PERSONAL,C,4800,12.73,0.11,Y,0
65000,RENT,8.0,PERSONAL,C,10000,13.99,0.15,N,0
50000,RENT,0.0,PERSONAL,E,4000,13.93,0.08,N,0
62000,MORTGAGE,7.0,PERSONAL,B,5000,11.83,0.08,N,0
75000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,15000,11.48,0.2,N,0
42000,RENT,0.0,VENTURE,B,5000,9.99,0.12,N,0
120000,RENT,4.0,DEBTCONSOLIDATION,C,16800,14.26,0.13,Y,0
130000,MORTGAGE,8.0,MEDICAL,B,14500,12.69,0.11,N,0
115000,MORTGAGE,3.0,EDUCATION,A,5000,6.03,0.04,N,0
61500,RENT,3.0,HOMEIMPROVEMENT,C,15000,13.23,0.24,Y,0
42000,RENT,8.0,DEBTCONSOLIDATION,D,5000,14.91,0.12,N,1
82000,MORTGAGE,21.0,PERSONAL,A,10000,6.99,0.12,N,0
95000,RENT,1.0,EDUCATION,B,2400,10.37,0.03,N,0
30000,RENT,0.0,HOMEIMPROVEMENT,B,15000,11.36,0.5,N,1
72000,RENT,8.0,MEDICAL,A,14000,7.88,0.19,N,0
56000,MORTGAGE,7.0,MEDICAL,C,6000,14.27,0.11,N,0
60000,MORTGAGE,7.0,EDUCATION,C,6200,15.96,0.1,N,0
50000,RENT,4.0,VENTURE,B,4000,11.49,0.08,N,0
26785,OWN,3.0,MEDICAL,A,8500,7.9,0.34,N,0
75000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,5000,12.69,0.07,N,0
52800,OWN,3.0,VENTURE,C,14000,11.34,0.27,N,0
62400,MORTGAGE,0.0,PERSONAL,B,12000,10.39,0.19,N,0
132000,MORTGAGE,12.0,HOMEIMPROVEMENT,F,20000,17.46,0.15,N,0
65000,RENT,1.0,MEDICAL,B,12000,12.18,0.18,N,0
44004,RENT,2.0,PERSONAL,B,11000,11.46,0.25,N,1
40000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,8000,8.59,0.2,N,0
50000,RENT,1.0,HOMEIMPROVEMENT,A,10000,6.62,0.2,N,0
55000,RENT,3.0,PERSONAL,C,12000,13.49,0.22,N,0
40000,RENT,5.0,MEDICAL,C,9000,13.61,0.23,Y,0
55000,MORTGAGE,6.0,MEDICAL,A,6800,6.99,0.12,N,0
80750,MORTGAGE,7.0,MEDICAL,D,20000,15.99,0.25,N,1
68000,RENT,4.0,EDUCATION,D,5000,15.05,0.07,N,0
50004,MORTGAGE,5.0,VENTURE,B,3000,11.12,0.06,N,0
78996,RENT,13.0,PERSONAL,D,12000,15.05,0.15,N,0
55000,MORTGAGE,5.0,EDUCATION,B,2000,12.69,0.04,N,0
24000,RENT,0.0,PERSONAL,B,8000,10.95,0.33,N,1
80000,RENT,4.0,PERSONAL,E,6400,16.4,0.08,N,1
45000,OWN,2.0,VENTURE,B,7000,9.88,0.16,N,0
100000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,35000,12.73,0.35,Y,0
60000,RENT,3.0,EDUCATION,A,12000,7.51,0.2,N,0
38400,OWN,8.0,EDUCATION,C,9600,13.61,0.25,Y,0
42000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,6000,13.49,0.14,Y,0
107500,MORTGAGE,11.0,MEDICAL,A,10000,7.9,0.09,N,0
90000,RENT,8.0,PERSONAL,B,16000,10.62,0.18,N,0
83000,MORTGAGE,3.0,EDUCATION,D,12000,15.62,0.14,Y,0
60000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5000,6.54,0.08,N,0
55000,MORTGAGE,7.0,MEDICAL,B,3200,10.99,0.06,N,0
85000,OWN,3.0,VENTURE,C,10000,14.27,0.12,N,0
42000,RENT,4.0,VENTURE,B,4000,10.74,0.1,N,0
110000,RENT,2.0,VENTURE,B,10000,11.48,0.09,N,0
55000,MORTGAGE,16.0,VENTURE,D,12500,15.7,0.23,N,0
110000,MORTGAGE,11.0,MEDICAL,A,10000,7.51,0.09,N,0
50000,RENT,0.0,MEDICAL,B,10000,10.95,0.2,N,0
43000,MORTGAGE,5.0,VENTURE,A,5000,8.94,0.12,N,0
43200,RENT,1.0,MEDICAL,A,10000,7.49,0.23,N,0
54000,RENT,5.0,VENTURE,B,12000,10.99,0.22,N,0
60000,RENT,3.0,PERSONAL,D,10000,15.33,0.17,N,0
52273,RENT,1.0,EDUCATION,B,4000,10.65,0.08,N,0
65000,RENT,2.0,EDUCATION,C,8000,12.68,0.12,N,0
45000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8800,8.49,0.19,N,0
88000,RENT,2.0,PERSONAL,A,4000,7.51,0.05,N,0
30000,OWN,2.0,PERSONAL,C,8000,14.26,0.27,Y,0
125000,MORTGAGE,4.0,HOMEIMPROVEMENT,E,30000,19.69,0.24,N,0
60000,RENT,7.0,EDUCATION,A,3000,7.9,0.05,N,0
45000,RENT,4.0,MEDICAL,A,7000,7.51,0.16,N,0
34296,RENT,7.0,DEBTCONSOLIDATION,B,12000,11.89,0.35,N,1
69500,RENT,7.0,VENTURE,C,12000,13.23,0.17,N,0
85000,MORTGAGE,18.0,EDUCATION,B,20000,10.65,0.24,N,0
58000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,3500,7.51,0.06,N,0
50000,RENT,6.0,EDUCATION,B,5000,10.99,0.1,N,0
42000,RENT,11.0,PERSONAL,B,1000,9.76,0.02,N,0
52000,RENT,1.0,HOMEIMPROVEMENT,D,6000,14.59,0.12,Y,1
60000,MORTGAGE,14.0,PERSONAL,B,2000,10.65,0.03,N,0
25000,RENT,1.0,HOMEIMPROVEMENT,C,9250,12.87,0.39,N,1
70000,MORTGAGE,6.0,EDUCATION,A,6000,7.49,0.09,N,0
70000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,16100,11.83,0.23,N,0
85000,MORTGAGE,0.0,PERSONAL,A,10000,7.49,0.12,N,0
42000,MORTGAGE,14.0,EDUCATION,B,3500,10.65,0.08,N,0
120000,MORTGAGE,3.0,VENTURE,A,5000,7.49,0.04,N,0
70000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,5000,7.29,0.07,N,0
65000,MORTGAGE,6.0,EDUCATION,A,10000,6.62,0.15,N,0
85000,RENT,4.0,DEBTCONSOLIDATION,A,9600,7.51,0.11,N,0
75000,MORTGAGE,3.0,MEDICAL,B,10000,9.91,0.13,N,0
50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,10000,8.0,0.2,N,0
45000,RENT,2.0,VENTURE,B,10000,10.59,0.22,N,0
39204,MORTGAGE,7.0,PERSONAL,A,7000,9.32,0.18,N,0
52500,MORTGAGE,7.0,PERSONAL,A,15000,6.99,0.29,N,0
56000,RENT,1.0,MEDICAL,B,2500,11.49,0.04,N,0
30000,RENT,0.0,PERSONAL,D,7200,16.29,0.24,N,1
100000,MORTGAGE,7.0,VENTURE,A,14000,5.79,0.14,N,0
75000,RENT,1.0,VENTURE,B,1800,11.49,0.02,N,0
28800,OWN,2.0,HOMEIMPROVEMENT,B,3300,10.59,0.11,N,0
40000,RENT,1.0,VENTURE,A,3650,6.91,0.09,N,0
38400,RENT,7.0,DEBTCONSOLIDATION,C,10000,13.49,0.26,N,0
110000,MORTGAGE,11.0,MEDICAL,A,15000,7.88,0.14,N,0
50000,RENT,0.0,VENTURE,B,12500,11.71,0.25,N,0
40000,RENT,0.0,EDUCATION,B,7000,8.88,0.17,N,0
70000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,4000,10.37,0.06,N,0
55000,RENT,7.0,DEBTCONSOLIDATION,B,6000,10.0,0.11,N,0
100300,RENT,9.0,MEDICAL,D,8500,14.84,0.08,N,1
40000,RENT,0.0,PERSONAL,C,16000,13.85,0.4,N,1
60000,RENT,1.0,EDUCATION,A,7500,9.32,0.13,N,0
87360,RENT,3.0,DEBTCONSOLIDATION,B,9800,10.65,0.11,N,0
95000,MORTGAGE,10.0,PERSONAL,B,17000,12.69,0.18,N,0
40000,RENT,2.0,PERSONAL,B,1500,11.71,0.04,N,0
27600,OWN,4.0,MEDICAL,B,6000,11.71,0.22,N,0
42000,OWN,4.0,VENTURE,B,2500,10.59,0.06,N,0
62000,RENT,2.0,DEBTCONSOLIDATION,B,10000,11.86,0.16,N,0
120000,MORTGAGE,4.0,MEDICAL,A,3600,7.49,0.03,N,0
44000,RENT,4.0,EDUCATION,E,8500,16.32,0.19,N,1
110000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,12000,6.99,0.11,N,0
96000,MORTGAGE,6.0,EDUCATION,A,4800,6.92,0.05,N,0
145000,MORTGAGE,8.0,EDUCATION,A,6000,5.79,0.04,N,0
40000,RENT,5.0,VENTURE,B,7000,11.49,0.17,N,0
57000,RENT,17.0,MEDICAL,A,6000,6.76,0.11,N,0
41600,MORTGAGE,2.0,VENTURE,B,13750,10.83,0.32,N,0
46500,MORTGAGE,4.0,DEBTCONSOLIDATION,B,10000,9.45,0.21,N,0
75000,RENT,4.0,HOMEIMPROVEMENT,B,20000,12.69,0.27,N,0
63000,MORTGAGE,8.0,PERSONAL,A,12000,7.9,0.19,N,0
90000,MORTGAGE,8.0,MEDICAL,B,12000,11.71,0.13,N,0
70000,MORTGAGE,6.0,PERSONAL,D,3500,15.99,0.05,Y,0
70000,MORTGAGE,9.0,EDUCATION,A,3000,6.39,0.04,N,0
48000,MORTGAGE,5.0,VENTURE,B,4200,10.59,0.09,N,0
45000,RENT,11.0,EDUCATION,B,7500,10.65,0.17,N,0
53000,RENT,2.0,DEBTCONSOLIDATION,C,6600,13.99,0.12,N,0
45000,MORTGAGE,3.0,MEDICAL,A,6250,5.79,0.14,N,0
105201,MORTGAGE,19.0,VENTURE,C,15000,13.57,0.14,N,0
120000,MORTGAGE,18.0,HOMEIMPROVEMENT,A,6000,6.03,0.05,N,0
58650,MORTGAGE,7.0,PERSONAL,D,5000,14.11,0.07,N,1
45000,MORTGAGE,6.0,VENTURE,A,4800,6.03,0.11,N,0
52000,RENT,2.0,EDUCATION,C,6000,12.87,0.12,Y,0
39500,RENT,4.0,MEDICAL,A,5000,7.49,0.13,N,0
30000,RENT,1.0,VENTURE,B,5000,11.14,0.17,N,0
80000,RENT,0.0,EDUCATION,B,2400,11.36,0.03,N,0
30000,RENT,7.0,HOMEIMPROVEMENT,A,11000,5.79,0.37,N,1
36000,RENT,6.0,EDUCATION,A,13000,5.99,0.36,N,1
67000,MORTGAGE,0.0,PERSONAL,E,10000,17.39,0.15,Y,0
87000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,7.51,0.11,N,0
72000,MORTGAGE,7.0,EDUCATION,A,12000,7.51,0.17,N,0
42000,MORTGAGE,16.0,MEDICAL,A,12000,5.42,0.29,N,0
65000,MORTGAGE,4.0,PERSONAL,D,24000,14.09,0.37,Y,0
70000,MORTGAGE,4.0,MEDICAL,A,10000,6.03,0.14,N,0
45000,MORTGAGE,6.0,VENTURE,A,4200,7.51,0.1,N,0
50000,RENT,6.0,MEDICAL,A,6325,5.42,0.13,N,0
39000,RENT,9.0,MEDICAL,D,6600,14.46,0.17,Y,1
35000,RENT,7.0,EDUCATION,B,5600,12.69,0.16,N,0
48000,RENT,1.0,MEDICAL,B,4000,10.99,0.08,N,0
52000,RENT,5.0,VENTURE,A,10000,5.99,0.19,N,0
