person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_status,rate_burden
34000,RENT,9.0,HOMEIMPROVEMENT,D,3000,16.32,0.08,Y,1,1.3056
70000,RENT,0.0,EDUCATION,B,15000,10.99,0.21,N,0,2.3079
100000,MORTGAGE,6.0,PERSONAL,B,15000,11.49,0.15,N,0,1.7235
82000,RENT,7.0,HOMEIMPROVEMENT,B,24000,12.53,0.3,N,0,3.7589999999999995
85000,RENT,3.0,EDUCATION,B,8000,10.25,0.09,N,0,0.9225
110000,MORTGAGE,3.0,VENTURE,A,15000,8.94,0.14,N,0,1.2516
46000,MORTGAGE,17.0,PERSONAL,C,6000,12.68,0.13,Y,0,1.6484
30000,OWN,10.0,MEDICAL,A,6000,5.42,0.2,N,0,1.084
95000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,14000,10.65,0.15,N,0,1.5975
62900,RENT,8.0,MEDICAL,D,18000,14.96,0.24,N,1,3.5904000000000003
80496,OWN,0.0,HOMEIMPROVEMENT,A,20000,6.91,0.25,N,0,1.7275
76000,RENT,2.0,VENTURE,C,14000,12.61,0.19,N,0,2.3959
55000,RENT,1.0,EDUCATION,A,8000,7.14,0.15,N,0,1.071
106925,MORTGAGE,11.0,MEDICAL,B,19500,10.99,0.18,N,0,1.9782
65000,RENT,0.0,PERSONAL,A,3000,5.79,0.05,N,0,0.28950000000000004
85000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,13.06,0.07,Y,0,0.9142000000000001
30000,RENT,5.0,HOMEIMPROVEMENT,C,6500,14.27,0.22,N,1,3.1393999999999997
170000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,17500,5.99,0.1,N,0,0.5990000000000001
47000,MORTGAGE,9.0,HOMEIMPROVEMENT,C,4500,13.49,0.1,Y,1,1.3490000000000002
50000,OWN,1.0,EDUCATION,C,2000,12.99,0.04,N,0,0.5196000000000001
120000,RENT,7.0,EDUCATION,B,16000,10.74,0.13,N,0,1.3962
40000,MORTGAGE,6.0,EDUCATION,B,6000,11.49,0.15,N,0,1.7235
60000,RENT,2.0,EDUCATION,C,19750,14.27,0.34,Y,0,4.8518
30000,RENT,3.0,MEDICAL,B,10000,11.14,0.33,N,1,3.6762000000000006
114750,RENT,4.0,MEDICAL,A,6000,7.9,0.05,N,1,0.395
54000,MORTGAGE,12.0,PERSONAL,A,12000,6.62,0.22,N,0,1.4564000000000001
30000,RENT,1.0,VENTURE,D,4000,14.84,0.13,Y,1,1.9292
50000,RENT,1.0,VENTURE,A,3000,7.51,0.06,N,0,0.45059999999999995
31000,RENT,5.0,EDUCATION,B,10000,11.49,0.32,N,1,3.6768
50000,RENT,7.0,EDUCATION,B,15000,10.99,0.3,N,0,3.297
60000,MORTGAGE,8.0,VENTURE,A,6000,8.59,0.1,N,0,0.859
78000,RENT,1.0,HOMEIMPROVEMENT,B,24000,10.25,0.31,N,1,3.1774999999999998
79992,MORTGAGE,1.0,DEBTCONSOLIDATION,B,6000,12.53,0.08,N,0,1.0024
110000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,28000,7.49,0.25,N,0,1.8725
150000,RENT,16.0,HOMEIMPROVEMENT,A,25000,7.88,0.17,N,0,1.3396000000000001
25000,RENT,0.0,MEDICAL,B,5000,10.99,0.2,N,0,2.198
36000,RENT,2.0,DEBTCONSOLIDATION,B,8000,11.49,0.22,N,1,2.5278
72000,RENT,7.0,MEDICAL,A,15000,7.51,0.21,N,0,1.5771
42000,RENT,2.0,DEBTCONSOLIDATION,C,4800,15.23,0.11,N,0,1.6753
44004,RENT,2.0,PERSONAL,D,18250,15.31,0.4,N,1,6.1240000000000006
96000,MORTGAGE,12.0,PERSONAL,B,5000,12.69,0.05,N,0,0.6345000000000001
65000,MORTGAGE,0.0,PERSONAL,B,5200,9.91,0.08,N,0,0.7928000000000001
54833,RENT,6.0,MEDICAL,B,10000,11.36,0.18,N,1,2.0448
51000,RENT,1.0,VENTURE,A,8400,7.14,0.17,N,0,1.2138
50000,RENT,3.0,EDUCATION,B,18650,11.71,0.37,N,1,4.3327
60000,RENT,3.0,MEDICAL,A,3600,5.99,0.06,N,0,0.3594
175000,MORTGAGE,7.0,EDUCATION,A,24000,7.49,0.12,N,0,0.8988
54000,MORTGAGE,16.0,MEDICAL,A,5000,6.03,0.09,N,0,0.5427
47412,MORTGAGE,0.0,EDUCATION,A,6500,8.59,0.14,N,0,1.2026000000000001
63000,MORTGAGE,3.0,EDUCATION,A,4000,6.92,0.06,N,0,0.41519999999999996
55000,MORTGAGE,6.0,MEDICAL,B,2800,11.49,0.05,N,0,0.5745
56000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,12000,10.46,0.21,N,0,2.1966
84996,MORTGAGE,7.0,PERSONAL,B,8000,11.99,0.09,N,0,1.0791
66847,RENT,3.0,PERSONAL,D,10000,16.29,0.15,Y,0,2.4435
60000,RENT,1.0,EDUCATION,B,12500,11.49,0.21,N,0,2.4129
52000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,7800,9.07,0.15,N,0,1.3605
24996,RENT,2.0,PERSONAL,C,5400,13.48,0.21,Y,0,2.8308
54996,RENT,3.0,MEDICAL,B,5000,10.36,0.09,N,0,0.9323999999999999
86400,MORTGAGE,8.0,MEDICAL,A,12000,5.79,0.14,N,0,0.8106000000000001
65000,MORTGAGE,5.0,VENTURE,A,12000,7.49,0.18,N,0,1.3482
42000,RENT,1.0,DEBTCONSOLIDATION,B,4000,9.99,0.1,N,0,0.9990000000000001
62500,MORTGAGE,7.0,VENTURE,B,20000,10.25,0.32,N,0,3.2800000000000002
130000,MORTGAGE,5.0,EDUCATION,B,13000,10.75,0.1,N,0,1.075
60000,RENT,7.0,MEDICAL,A,6000,7.51,0.1,N,0,0.751
40000,RENT,3.0,EDUCATION,B,1850,10.25,0.04,N,0,0.41000000000000003
59000,RENT,2.0,DEBTCONSOLIDATION,D,8000,14.96,0.14,Y,1,2.0944000000000003
55000,MORTGAGE,2.0,VENTURE,B,10800,9.91,0.2,N,0,1.9820000000000002
66000,RENT,0.0,PERSONAL,A,3500,7.14,0.05,N,0,0.357
75000,MORTGAGE,4.0,VENTURE,C,15250,11.34,0.2,Y,0,2.2680000000000002
58200,MORTGAGE,1.0,VENTURE,B,14000,10.74,0.24,N,0,2.5776
117000,RENT,8.0,PERSONAL,C,8000,13.06,0.07,Y,0,0.9142000000000001
70000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,10000,9.99,0.14,N,0,1.3986
48000,RENT,2.0,EDUCATION,B,3500,11.49,0.07,N,0,0.8043000000000001
88000,MORTGAGE,4.0,EDUCATION,B,15000,10.62,0.17,N,0,1.8054
35000,RENT,2.0,VENTURE,A,4000,9.32,0.11,N,0,1.0252000000000001
31200,RENT,3.0,EDUCATION,C,2250,13.35,0.07,Y,0,0.9345000000000001
82600,OWN,10.0,PERSONAL,B,20000,10.99,0.24,N,0,2.6376
54996,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,8.94,0.19,N,0,1.6985999999999999
75000,RENT,2.0,VENTURE,B,20000,10.99,0.27,N,0,2.9673000000000003
65000,MORTGAGE,2.0,MEDICAL,A,14000,7.51,0.22,N,0,1.6522
75000,MORTGAGE,1.0,MEDICAL,B,3600,12.69,0.05,N,0,0.6345000000000001
105000,RENT,3.0,EDUCATION,B,15000,11.86,0.14,N,0,1.6604
90000,RENT,7.0,MEDICAL,B,12000,12.42,0.13,N,0,1.6146
38400,MORTGAGE,6.0,DEBTCONSOLIDATION,A,7800,7.9,0.19,N,0,1.5010000000000001
100000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15000,11.99,0.15,N,0,1.7985
39000,MORTGAGE,12.0,DEBTCONSOLIDATION,A,6000,6.91,0.15,N,0,1.0365
65000,MORTGAGE,21.0,VENTURE,D,7000,16.07,0.11,N,0,1.7677
58000,RENT,0.0,EDUCATION,B,1500,12.18,0.03,N,0,0.3654
45504,RENT,3.0,EDUCATION,C,8700,13.11,0.18,Y,1,2.3598
101000,RENT,0.0,HOMEIMPROVEMENT,C,20000,14.22,0.2,N,0,2.8440000000000003
40000,RENT,2.0,EDUCATION,B,1500,11.86,0.04,N,0,0.4744
102000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,18000,11.49,0.18,N,0,2.0682
48996,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,6.17,0.2,N,0,1.234
75000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,24000,10.36,0.32,N,0,3.3152
80000,OWN,0.0,VENTURE,D,9600,15.31,0.12,N,0,1.8372
40000,RENT,1.0,MEDICAL,B,3000,12.18,0.07,N,0,0.8526
39000,MORTGAGE,6.0,MEDICAL,D,3000,15.62,0.08,N,1,1.2496
57000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,20000,10.99,0.35,N,0,3.8465
37148,RENT,2.0,DEBTCONSOLIDATION,A,2000,6.39,0.05,N,0,0.3195
75000,RENT,8.0,PERSONAL,C,10000,13.49,0.13,N,0,1.7537
95000,MORTGAGE,6.0,VENTURE,C,18000,13.79,0.19,N,0,2.6201
30000,RENT,0.0,DEBTCONSOLIDATION,C,6000,13.49,0.2,Y,0,2.6980000000000004
90000,MORTGAGE,6.0,EDUCATION,B,14000,10.99,0.16,N,0,1.7584
75531,RENT,4.0,DEBTCONSOLIDATION,A,12000,7.49,0.17,N,0,1.2733
75000,MORTGAGE,9.0,PERSONAL,B,8000,11.26,0.11,N,0,1.2386
110000,MORTGAGE,13.0,PERSONAL,A,10000,7.14,0.09,N,0,0.6426
35000,RENT,0.0,VENTURE,B,6000,12.21,0.17,N,0,2.0757000000000003
85000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,5500,10.99,0.06,N,0,0.6594
100000,MORTGAGE,2.0,VENTURE,A,11000,7.66,0.11,N,0,0.8426
38400,MORTGAGE,7.0,PERSONAL,C,15000,12.99,0.39,N,0,5.0661000000000005
50000,RENT,4.0,DEBTCONSOLIDATION,B,6000,12.42,0.12,N,0,1.4904
32640,RENT,9.0,VENTURE,B,4800,11.11,0.15,N,0,1.6664999999999999
33000,RENT,2.0,MEDICAL,B,4000,10.25,0.12,N,0,1.23
42000,RENT,1.0,PERSONAL,C,4800,12.73,0.11,Y,0,1.4003
65000,RENT,8.0,PERSONAL,C,10000,13.99,0.15,N,0,2.0985
50000,RENT,0.0,PERSONAL,E,4000,13.93,0.08,N,0,1.1144
62000,MORTGAGE,7.0,PERSONAL,B,5000,11.83,0.08,N,0,0.9464
75000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,15000,11.48,0.2,N,0,2.2960000000000003
42000,RENT,0.0,VENTURE,B,5000,9.99,0.12,N,0,1.1988
120000,RENT,4.0,DEBTCONSOLIDATION,C,16800,14.26,0.13,Y,0,1.8538000000000001
130000,MORTGAGE,8.0,MEDICAL,B,14500,12.69,0.11,N,0,1.3959
115000,MORTGAGE,3.0,EDUCATION,A,5000,6.03,0.04,N,0,0.24120000000000003
61500,RENT,3.0,HOMEIMPROVEMENT,C,15000,13.23,0.24,Y,0,3.1752
42000,RENT,8.0,DEBTCONSOLIDATION,D,5000,14.91,0.12,N,1,1.7892
82000,MORTGAGE,21.0,PERSONAL,A,10000,6.99,0.12,N,0,0.8388
95000,RENT,1.0,EDUCATION,B,2400,10.37,0.03,N,0,0.3111
30000,RENT,0.0,HOMEIMPROVEMENT,B,15000,11.36,0.5,N,1,5.68
72000,RENT,8.0,MEDICAL,A,14000,7.88,0.19,N,0,1.4972
56000,MORTGAGE,7.0,MEDICAL,C,6000,14.27,0.11,N,0,1.5696999999999999
60000,MORTGAGE,7.0,EDUCATION,C,6200,15.96,0.1,N,0,1.596
50000,RENT,4.0,VENTURE,B,4000,11.49,0.08,N,0,0.9192
26785,OWN,3.0,MEDICAL,A,8500,7.9,0.34,N,0,2.6860000000000004
75000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,5000,12.69,0.07,N,0,0.8883000000000001
52800,OWN,3.0,VENTURE,C,14000,11.34,0.27,N,0,3.0618000000000003
62400,MORTGAGE,0.0,PERSONAL,B,12000,10.39,0.19,N,0,1.9741000000000002
132000,MORTGAGE,12.0,HOMEIMPROVEMENT,F,20000,17.46,0.15,N,0,2.619
65000,RENT,1.0,MEDICAL,B,12000,12.18,0.18,N,0,2.1923999999999997
44004,RENT,2.0,PERSONAL,B,11000,11.46,0.25,N,1,2.865
40000,MORTGAGE,13.0,HOMEIMPROVEMENT,A,8000,8.59,0.2,N,0,1.718
50000,RENT,1.0,HOMEIMPROVEMENT,A,10000,6.62,0.2,N,0,1.324
55000,RENT,3.0,PERSONAL,C,12000,13.49,0.22,N,0,2.9678
40000,RENT,5.0,MEDICAL,C,9000,13.61,0.23,Y,0,3.1303
55000,MORTGAGE,6.0,MEDICAL,A,6800,6.99,0.12,N,0,0.8388
80750,MORTGAGE,7.0,MEDICAL,D,20000,15.99,0.25,N,1,3.9975
68000,RENT,4.0,EDUCATION,D,5000,15.05,0.07,N,0,1.0535
50004,MORTGAGE,5.0,VENTURE,B,3000,11.12,0.06,N,0,0.6671999999999999
78996,RENT,13.0,PERSONAL,D,12000,15.05,0.15,N,0,2.2575
55000,MORTGAGE,5.0,EDUCATION,B,2000,12.69,0.04,N,0,0.5075999999999999
24000,RENT,0.0,PERSONAL,B,8000,10.95,0.33,N,1,3.6135
80000,RENT,4.0,PERSONAL,E,6400,16.4,0.08,N,1,1.3119999999999998
45000,OWN,2.0,VENTURE,B,7000,9.88,0.16,N,0,1.5808000000000002
100000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,35000,12.73,0.35,Y,0,4.4555
60000,RENT,3.0,EDUCATION,A,12000,7.51,0.2,N,0,1.502
38400,OWN,8.0,EDUCATION,C,9600,13.61,0.25,Y,0,3.4025
42000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,6000,13.49,0.14,Y,0,1.8886000000000003
107500,MORTGAGE,11.0,MEDICAL,A,10000,7.9,0.09,N,0,0.711
90000,RENT,8.0,PERSONAL,B,16000,10.62,0.18,N,0,1.9115999999999997
83000,MORTGAGE,3.0,EDUCATION,D,12000,15.62,0.14,Y,0,2.1868000000000003
60000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5000,6.54,0.08,N,0,0.5232
55000,MORTGAGE,7.0,MEDICAL,B,3200,10.99,0.06,N,0,0.6594
85000,OWN,3.0,VENTURE,C,10000,14.27,0.12,N,0,1.7124
42000,RENT,4.0,VENTURE,B,4000,10.74,0.1,N,0,1.074
110000,RENT,2.0,VENTURE,B,10000,11.48,0.09,N,0,1.0332
55000,MORTGAGE,16.0,VENTURE,D,12500,15.7,0.23,N,0,3.611
110000,MORTGAGE,11.0,MEDICAL,A,10000,7.51,0.09,N,0,0.6759
50000,RENT,0.0,MEDICAL,B,10000,10.95,0.2,N,0,2.19
43000,MORTGAGE,5.0,VENTURE,A,5000,8.94,0.12,N,0,1.0728
43200,RENT,1.0,MEDICAL,A,10000,7.49,0.23,N,0,1.7227000000000001
54000,RENT,5.0,VENTURE,B,12000,10.99,0.22,N,0,2.4178
60000,RENT,3.0,PERSONAL,D,10000,15.33,0.17,N,0,2.6061
52273,RENT,1.0,EDUCATION,B,4000,10.65,0.08,N,0,0.8520000000000001
65000,RENT,2.0,EDUCATION,C,8000,12.68,0.12,N,0,1.5215999999999998
45000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8800,8.49,0.19,N,0,1.6131
88000,RENT,2.0,PERSONAL,A,4000,7.51,0.05,N,0,0.3755
30000,OWN,2.0,PERSONAL,C,8000,14.26,0.27,Y,0,3.8502
125000,MORTGAGE,4.0,HOMEIMPROVEMENT,E,30000,19.69,0.24,N,0,4.7256
60000,RENT,7.0,EDUCATION,A,3000,7.9,0.05,N,0,0.395
45000,RENT,4.0,MEDICAL,A,7000,7.51,0.16,N,0,1.2016
34296,RENT,7.0,DEBTCONSOLIDATION,B,12000,11.89,0.35,N,1,4.1615
69500,RENT,7.0,VENTURE,C,12000,13.23,0.17,N,0,2.2491000000000003
85000,MORTGAGE,18.0,EDUCATION,B,20000,10.65,0.24,N,0,2.556
58000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,3500,7.51,0.06,N,0,0.45059999999999995
50000,RENT,6.0,EDUCATION,B,5000,10.99,0.1,N,0,1.099
42000,RENT,11.0,PERSONAL,B,1000,9.76,0.02,N,0,0.1952
52000,RENT,1.0,HOMEIMPROVEMENT,D,6000,14.59,0.12,Y,1,1.7508
60000,MORTGAGE,14.0,PERSONAL,B,2000,10.65,0.03,N,0,0.3195
25000,RENT,1.0,HOMEIMPROVEMENT,C,9250,12.87,0.39,N,1,5.019299999999999
70000,MORTGAGE,6.0,EDUCATION,A,6000,7.49,0.09,N,0,0.6741
70000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,16100,11.83,0.23,N,0,2.7209000000000003
85000,MORTGAGE,0.0,PERSONAL,A,10000,7.49,0.12,N,0,0.8988
42000,MORTGAGE,14.0,EDUCATION,B,3500,10.65,0.08,N,0,0.8520000000000001
120000,MORTGAGE,3.0,VENTURE,A,5000,7.49,0.04,N,0,0.29960000000000003
70000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,5000,7.29,0.07,N,0,0.5103000000000001
65000,MORTGAGE,6.0,EDUCATION,A,10000,6.62,0.15,N,0,0.993
85000,RENT,4.0,DEBTCONSOLIDATION,A,9600,7.51,0.11,N,0,0.8261
75000,MORTGAGE,3.0,MEDICAL,B,10000,9.91,0.13,N,0,1.2883
50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,10000,8.0,0.2,N,0,1.6
45000,RENT,2.0,VENTURE,B,10000,10.59,0.22,N,0,2.3298
39204,MORTGAGE,7.0,PERSONAL,A,7000,9.32,0.18,N,0,1.6776
52500,MORTGAGE,7.0,PERSONAL,A,15000,6.99,0.29,N,0,2.0271
56000,RENT,1.0,MEDICAL,B,2500,11.49,0.04,N,0,0.4596
30000,RENT,0.0,PERSONAL,D,7200,16.29,0.24,N,1,3.9095999999999997
100000,MORTGAGE,7.0,VENTURE,A,14000,5.79,0.14,N,0,0.8106000000000001
75000,RENT,1.0,VENTURE,B,1800,11.49,0.02,N,0,0.2298
28800,OWN,2.0,HOMEIMPROVEMENT,B,3300,10.59,0.11,N,0,1.1649
40000,RENT,1.0,VENTURE,A,3650,6.91,0.09,N,0,0.6219
38400,RENT,7.0,DEBTCONSOLIDATION,C,10000,13.49,0.26,N,0,3.5074
110000,MORTGAGE,11.0,MEDICAL,A,15000,7.88,0.14,N,0,1.1032000000000002
50000,RENT,0.0,VENTURE,B,12500,11.71,0.25,N,0,2.9275
40000,RENT,0.0,EDUCATION,B,7000,8.88,0.17,N,0,1.5096000000000003
70000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,4000,10.37,0.06,N,0,0.6222
