person_income,person_home_ownership,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,loan_status,intent_default_risk
65000,MORTGAGE,2.0,D,5000,15.2,0.07,0,7
175000,RENT,0.0,C,3000,14.26,0.01,0,11
150000,MORTGAGE,1.0,B,20000,11.58,0.13,0,1
70000,MORTGAGE,0.0,C,6000,12.53,0.09,0,8
33000,RENT,4.0,B,9800,10.62,0.28,0,3
96000,MORTGAGE,5.0,A,15000,5.99,0.16,0,3
70000,RENT,9.0,B,12000,11.48,0.17,0,4
36000,MORTGAGE,1.0,A,8000,6.91,0.22,0,5
34000,RENT,9.0,D,3000,16.32,0.08,1,10
70000,RENT,0.0,B,15000,10.99,0.21,0,2
100000,MORTGAGE,6.0,B,15000,11.49,0.15,0,3
82000,RENT,7.0,B,24000,12.53,0.3,0,4
85000,RENT,3.0,B,8000,10.25,0.09,0,2
110000,MORTGAGE,3.0,A,15000,8.94,0.14,0,1
46000,MORTGAGE,17.0,C,6000,12.68,0.13,0,9
30000,OWN,10.0,A,6000,5.42,0.2,0,5
95000,MORTGAGE,5.0,B,14000,10.65,0.15,0,6
62900,RENT,8.0,D,18000,14.96,0.24,1,5
80496,OWN,0.0,A,20000,6.91,0.25,0,4
76000,RENT,2.0,C,14000,12.61,0.19,0,1
55000,RENT,1.0,A,8000,7.14,0.15,0,2
106925,MORTGAGE,11.0,B,19500,10.99,0.18,0,5
65000,RENT,0.0,A,3000,5.79,0.05,0,3
85000,MORTGAGE,0.0,C,6000,13.06,0.07,0,12
30000,RENT,5.0,C,6500,14.27,0.22,1,4
170000,MORTGAGE,3.0,A,17500,5.99,0.1,0,4
47000,MORTGAGE,9.0,C,4500,13.49,0.1,1,10
50000,OWN,1.0,C,2000,12.99,0.04,0,2
120000,RENT,7.0,B,16000,10.74,0.13,0,2
40000,MORTGAGE,6.0,B,6000,11.49,0.15,0,2
60000,RENT,2.0,C,19750,14.27,0.34,0,8
30000,RENT,3.0,B,10000,11.14,0.33,1,5
114750,RENT,4.0,A,6000,7.9,0.05,1,5
54000,MORTGAGE,12.0,A,12000,6.62,0.22,0,3
30000,RENT,1.0,D,4000,14.84,0.13,1,7
50000,RENT,1.0,A,3000,7.51,0.06,0,1
31000,RENT,5.0,B,10000,11.49,0.32,1,2
50000,RENT,7.0,B,15000,10.99,0.3,0,2
60000,MORTGAGE,8.0,A,6000,8.59,0.1,0,1
78000,RENT,1.0,B,24000,10.25,0.31,1,4
79992,MORTGAGE,1.0,B,6000,12.53,0.08,0,6
110000,MORTGAGE,8.0,A,28000,7.49,0.25,0,4
150000,RENT,16.0,A,25000,7.88,0.17,0,4
25000,RENT,0.0,B,5000,10.99,0.2,0,5
36000,RENT,2.0,B,8000,11.49,0.22,1,6
72000,RENT,7.0,A,15000,7.51,0.21,0,5
42000,RENT,2.0,C,4800,15.23,0.11,0,6
44004,RENT,2.0,D,18250,15.31,0.4,1,3
96000,MORTGAGE,12.0,B,5000,12.69,0.05,0,3
65000,MORTGAGE,0.0,B,5200,9.91,0.08,0,3
54833,RENT,6.0,B,10000,11.36,0.18,1,5
51000,RENT,1.0,A,8400,7.14,0.17,0,1
50000,RENT,3.0,B,18650,11.71,0.37,1,2
60000,RENT,3.0,A,3600,5.99,0.06,0,5
175000,MORTGAGE,7.0,A,24000,7.49,0.12,0,2
54000,MORTGAGE,16.0,A,5000,6.03,0.09,0,5
47412,MORTGAGE,0.0,A,6500,8.59,0.14,0,2
63000,MORTGAGE,3.0,A,4000,6.92,0.06,0,2
55000,MORTGAGE,6.0,B,2800,11.49,0.05,0,5
56000,MORTGAGE,1.0,B,12000,10.46,0.21,0,6
84996,MORTGAGE,7.0,B,8000,11.99,0.09,0,3
66847,RENT,3.0,D,10000,16.29,0.15,0,9
60000,RENT,1.0,B,12500,11.49,0.21,0,2
52000,MORTGAGE,11.0,A,7800,9.07,0.15,0,4
24996,RENT,2.0,C,5400,13.48,0.21,0,9
54996,RENT,3.0,B,5000,10.36,0.09,0,5
86400,MORTGAGE,8.0,A,12000,5.79,0.14,0,5
65000,MORTGAGE,5.0,A,12000,7.49,0.18,0,1
42000,RENT,1.0,B,4000,9.99,0.1,0,6
62500,MORTGAGE,7.0,B,20000,10.25,0.32,0,1
130000,MORTGAGE,5.0,B,13000,10.75,0.1,0,2
60000,RENT,7.0,A,6000,7.51,0.1,0,5
40000,RENT,3.0,B,1850,10.25,0.04,0,2
59000,RENT,2.0,D,8000,14.96,0.14,1,12
55000,MORTGAGE,2.0,B,10800,9.91,0.2,0,1
66000,RENT,0.0,A,3500,7.14,0.05,0,3
75000,MORTGAGE,4.0,C,15250,11.34,0.2,0,7
58200,MORTGAGE,1.0,B,14000,10.74,0.24,0,1
117000,RENT,8.0,C,8000,13.06,0.07,0,9
70000,MORTGAGE,7.0,B,10000,9.99,0.14,0,6
48000,RENT,2.0,B,3500,11.49,0.07,0,2
88000,MORTGAGE,4.0,B,15000,10.62,0.17,0,2
35000,RENT,2.0,A,4000,9.32,0.11,0,1
31200,RENT,3.0,C,2250,13.35,0.07,0,8
82600,OWN,10.0,B,20000,10.99,0.24,0,3
54996,MORTGAGE,5.0,A,10000,8.94,0.19,0,6
75000,RENT,2.0,B,20000,10.99,0.27,0,1
65000,MORTGAGE,2.0,A,14000,7.51,0.22,0,5
75000,MORTGAGE,1.0,B,3600,12.69,0.05,0,5
105000,RENT,3.0,B,15000,11.86,0.14,0,2
90000,RENT,7.0,B,12000,12.42,0.13,0,5
38400,MORTGAGE,6.0,A,7800,7.9,0.19,0,6
100000,MORTGAGE,2.0,B,15000,11.99,0.15,0,6
39000,MORTGAGE,12.0,A,6000,6.91,0.15,0,6
65000,MORTGAGE,21.0,D,7000,16.07,0.11,0,1
58000,RENT,0.0,B,1500,12.18,0.03,0,2
45504,RENT,3.0,C,8700,13.11,0.18,1,8
101000,RENT,0.0,C,20000,14.22,0.2,0,4
40000,RENT,2.0,B,1500,11.86,0.04,0,2
102000,MORTGAGE,9.0,B,18000,11.49,0.18,0,6
48996,MORTGAGE,4.0,A,10000,6.17,0.2,0,6
75000,MORTGAGE,3.0,B,24000,10.36,0.32,0,6
80000,OWN,0.0,D,9600,15.31,0.12,0,1
40000,RENT,1.0,B,3000,12.18,0.07,0,5
39000,MORTGAGE,6.0,D,3000,15.62,0.08,1,5
57000,MORTGAGE,1.0,B,20000,10.99,0.35,0,6
37148,RENT,2.0,A,2000,6.39,0.05,0,6
75000,RENT,8.0,C,10000,13.49,0.13,0,3
95000,MORTGAGE,6.0,C,18000,13.79,0.19,0,1
30000,RENT,0.0,C,6000,13.49,0.2,0,12
90000,MORTGAGE,6.0,B,14000,10.99,0.16,0,2
75531,RENT,4.0,A,12000,7.49,0.17,0,6
75000,MORTGAGE,9.0,B,8000,11.26,0.11,0,3
110000,MORTGAGE,13.0,A,10000,7.14,0.09,0,3
35000,RENT,0.0,B,6000,12.21,0.17,0,1
85000,MORTGAGE,10.0,B,5500,10.99,0.06,0,6
100000,MORTGAGE,2.0,A,11000,7.66,0.11,0,1
38400,MORTGAGE,7.0,C,15000,12.99,0.39,0,3
50000,RENT,4.0,B,6000,12.42,0.12,0,6
32640,RENT,9.0,B,4800,11.11,0.15,0,1
33000,RENT,2.0,B,4000,10.25,0.12,0,5
42000,RENT,1.0,C,4800,12.73,0.11,0,9
65000,RENT,8.0,C,10000,13.99,0.15,0,3
50000,RENT,0.0,E,4000,13.93,0.08,0,3
62000,MORTGAGE,7.0,B,5000,11.83,0.08,0,3
75000,MORTGAGE,0.0,B,15000,11.48,0.2,0,4
42000,RENT,0.0,B,5000,9.99,0.12,0,1
120000,RENT,4.0,C,16800,14.26,0.13,0,12
130000,MORTGAGE,8.0,B,14500,12.69,0.11,0,5
115000,MORTGAGE,3.0,A,5000,6.03,0.04,0,2
61500,RENT,3.0,C,15000,13.23,0.24,0,10
42000,RENT,8.0,D,5000,14.91,0.12,1,6
82000,MORTGAGE,21.0,A,10000,6.99,0.12,0,3
95000,RENT,1.0,B,2400,10.37,0.03,0,2
30000,RENT,0.0,B,15000,11.36,0.5,1,4
72000,RENT,8.0,A,14000,7.88,0.19,0,5
56000,MORTGAGE,7.0,C,6000,14.27,0.11,0,5
60000,MORTGAGE,7.0,C,6200,15.96,0.1,0,2
50000,RENT,4.0,B,4000,11.49,0.08,0,1
26785,OWN,3.0,A,8500,7.9,0.34,0,5
75000,MORTGAGE,5.0,B,5000,12.69,0.07,0,4
52800,OWN,3.0,C,14000,11.34,0.27,0,1
62400,MORTGAGE,0.0,B,12000,10.39,0.19,0,3
132000,MORTGAGE,12.0,F,20000,17.46,0.15,0,4
65000,RENT,1.0,B,12000,12.18,0.18,0,5
44004,RENT,2.0,B,11000,11.46,0.25,1,3
40000,MORTGAGE,13.0,A,8000,8.59,0.2,0,4
50000,RENT,1.0,A,10000,6.62,0.2,0,4
55000,RENT,3.0,C,12000,13.49,0.22,0,3
40000,RENT,5.0,C,9000,13.61,0.23,0,11
55000,MORTGAGE,6.0,A,6800,6.99,0.12,0,5
80750,MORTGAGE,7.0,D,20000,15.99,0.25,1,5
68000,RENT,4.0,D,5000,15.05,0.07,0,2
50004,MORTGAGE,5.0,B,3000,11.12,0.06,0,1
78996,RENT,13.0,D,12000,15.05,0.15,0,3
55000,MORTGAGE,5.0,B,2000,12.69,0.04,0,2
24000,RENT,0.0,B,8000,10.95,0.33,1,3
80000,RENT,4.0,E,6400,16.4,0.08,1,3
45000,OWN,2.0,B,7000,9.88,0.16,0,1
100000,MORTGAGE,6.0,C,35000,12.73,0.35,0,12
60000,RENT,3.0,A,12000,7.51,0.2,0,2
38400,OWN,8.0,C,9600,13.61,0.25,0,8
42000,MORTGAGE,8.0,C,6000,13.49,0.14,0,12
107500,MORTGAGE,11.0,A,10000,7.9,0.09,0,5
90000,RENT,8.0,B,16000,10.62,0.18,0,3
83000,MORTGAGE,3.0,D,12000,15.62,0.14,0,8
60000,MORTGAGE,2.0,A,5000,6.54,0.08,0,4
55000,MORTGAGE,7.0,B,3200,10.99,0.06,0,5
85000,OWN,3.0,C,10000,14.27,0.12,0,1
42000,RENT,4.0,B,4000,10.74,0.1,0,1
110000,RENT,2.0,B,10000,11.48,0.09,0,1
55000,MORTGAGE,16.0,D,12500,15.7,0.23,0,1
110000,MORTGAGE,11.0,A,10000,7.51,0.09,0,5
50000,RENT,0.0,B,10000,10.95,0.2,0,5
43000,MORTGAGE,5.0,A,5000,8.94,0.12,0,1
43200,RENT,1.0,A,10000,7.49,0.23,0,5
54000,RENT,5.0,B,12000,10.99,0.22,0,1
60000,RENT,3.0,D,10000,15.33,0.17,0,3
52273,RENT,1.0,B,4000,10.65,0.08,0,2
65000,RENT,2.0,C,8000,12.68,0.12,0,2
45000,MORTGAGE,10.0,A,8800,8.49,0.19,0,4
88000,RENT,2.0,A,4000,7.51,0.05,0,3
30000,OWN,2.0,C,8000,14.26,0.27,0,9
125000,MORTGAGE,4.0,E,30000,19.69,0.24,0,4
60000,RENT,7.0,A,3000,7.9,0.05,0,2
45000,RENT,4.0,A,7000,7.51,0.16,0,5
34296,RENT,7.0,B,12000,11.89,0.35,1,6
69500,RENT,7.0,C,12000,13.23,0.17,0,1
85000,MORTGAGE,18.0,B,20000,10.65,0.24,0,2
58000,MORTGAGE,11.0,A,3500,7.51,0.06,0,4
50000,RENT,6.0,B,5000,10.99,0.1,0,2
42000,RENT,11.0,B,1000,9.76,0.02,0,3
52000,RENT,1.0,D,6000,14.59,0.12,1,10
60000,MORTGAGE,14.0,B,2000,10.65,0.03,0,3
25000,RENT,1.0,C,9250,12.87,0.39,1,4
70000,MORTGAGE,6.0,A,6000,7.49,0.09,0,2
70000,MORTGAGE,7.0,B,16100,11.83,0.23,0,4
85000,MORTGAGE,0.0,A,10000,7.49,0.12,0,3
42000,MORTGAGE,14.0,B,3500,10.65,0.08,0,2
120000,MORTGAGE,3.0,A,5000,7.49,0.04,0,1
70000,MORTGAGE,11.0,A,5000,7.29,0.07,0,6
65000,MORTGAGE,6.0,A,10000,6.62,0.15,0,2
85000,RENT,4.0,A,9600,7.51,0.11,0,6
75000,MORTGAGE,3.0,B,10000,9.91,0.13,0,5
50000,MORTGAGE,0.0,A,10000,8.0,0.2,0,6
45000,RENT,2.0,B,10000,10.59,0.22,0,1
39204,MORTGAGE,7.0,A,7000,9.32,0.18,0,3
52500,MORTGAGE,7.0,A,15000,6.99,0.29,0,3
56000,RENT,1.0,B,2500,11.49,0.04,0,5
30000,RENT,0.0,D,7200,16.29,0.24,1,3
100000,MORTGAGE,7.0,A,14000,5.79,0.14,0,1
75000,RENT,1.0,B,1800,11.49,0.02,0,1
28800,OWN,2.0,B,3300,10.59,0.11,0,4
40000,RENT,1.0,A,3650,6.91,0.09,0,1
38400,RENT,7.0,C,10000,13.49,0.26,0,6
110000,MORTGAGE,11.0,A,15000,7.88,0.14,0,5
50000,RENT,0.0,B,12500,11.71,0.25,0,1
40000,RENT,0.0,B,7000,8.88,0.17,0,2
70000,MORTGAGE,0.0,B,4000,10.37,0.06,0,4
55000,RENT,7.0,B,6000,10.0,0.11,0,6
100300,RENT,9.0,D,8500,14.84,0.08,1,5
40000,RENT,0.0,C,16000,13.85,0.4,1,3
60000,RENT,1.0,A,7500,9.32,0.13,0,2
87360,RENT,3.0,B,9800,10.65,0.11,0,6
95000,MORTGAGE,10.0,B,17000,12.69,0.18,0,3
40000,RENT,2.0,B,1500,11.71,0.04,0,3
27600,OWN,4.0,B,6000,11.71,0.22,0,5
42000,OWN,4.0,B,2500,10.59,0.06,0,1
62000,RENT,2.0,B,10000,11.86,0.16,0,6
120000,MORTGAGE,4.0,A,3600,7.49,0.03,0,5
44000,RENT,4.0,E,8500,16.32,0.19,1,2
110000,MORTGAGE,4.0,A,12000,6.99,0.11,0,4
96000,MORTGAGE,6.0,A,4800,6.92,0.05,0,2
145000,MORTGAGE,8.0,A,6000,5.79,0.04,0,2
40000,RENT,5.0,B,7000,11.49,0.17,0,1
57000,RENT,17.0,A,6000,6.76,0.11,0,5
41600,MORTGAGE,2.0,B,13750,10.83,0.32,0,1
46500,MORTGAGE,4.0,B,10000,9.45,0.21,0,6
75000,RENT,4.0,B,20000,12.69,0.27,0,4
63000,MORTGAGE,8.0,A,12000,7.9,0.19,0,3
90000,MORTGAGE,8.0,B,12000,11.71,0.13,0,5
70000,MORTGAGE,6.0,D,3500,15.99,0.05,0,9
70000,MORTGAGE,9.0,A,3000,6.39,0.04,0,2
48000,MORTGAGE,5.0,B,4200,10.59,0.09,0,1
45000,RENT,11.0,B,7500,10.65,0.17,0,2
53000,RENT,2.0,C,6600,13.99,0.12,0,6
45000,MORTGAGE,3.0,A,6250,5.79,0.14,0,5
105201,MORTGAGE,19.0,C,15000,13.57,0.14,0,1
120000,MORTGAGE,18.0,A,6000,6.03,0.05,0,4
58650,MORTGAGE,7.0,D,5000,14.11,0.07,1,3
45000,MORTGAGE,6.0,A,4800,6.03,0.11,0,1
52000,RENT,2.0,C,6000,12.87,0.12,0,8
39500,RENT,4.0,A,5000,7.49,0.13,0,5
30000,RENT,1.0,B,5000,11.14,0.17,0,1
80000,RENT,0.0,B,2400,11.36,0.03,0,2
30000,RENT,7.0,A,11000,5.79,0.37,1,4
36000,RENT,6.0,A,13000,5.99,0.36,1,2
67000,MORTGAGE,0.0,E,10000,17.39,0.15,0,9
87000,MORTGAGE,4.0,A,10000,7.51,0.11,0,6
72000,MORTGAGE,7.0,A,12000,7.51,0.17,0,2
42000,MORTGAGE,16.0,A,12000,5.42,0.29,0,5
65000,MORTGAGE,4.0,D,24000,14.09,0.37,0,9
70000,MORTGAGE,4.0,A,10000,6.03,0.14,0,5
45000,MORTGAGE,6.0,A,4200,7.51,0.1,0,1
50000,RENT,6.0,A,6325,5.42,0.13,0,5
39000,RENT,9.0,D,6600,14.46,0.17,1,11
35000,RENT,7.0,B,5600,12.69,0.16,0,2
48000,RENT,1.0,B,4000,10.99,0.08,0,5
52000,RENT,5.0,A,10000,5.99,0.19,0,1
30000,RENT,4.0,A,8000,8.9,0.27,1,6
51992,MORTGAGE,7.0,C,15000,13.98,0.29,0,9
60000,MORTGAGE,7.0,B,6000,10.99,0.1,0,2
54000,RENT,4.0,C,17000,13.99,0.32,1,10
40000,RENT,0.0,B,5000,9.99,0.13,0,5
28800,RENT,0.0,A,2800,7.88,0.1,1,1
110000,RENT,8.0,C,8000,11.22,0.07,0,11
75000,RENT,1.0,B,7200,9.99,0.1,0,5
30000,RENT,3.0,B,6000,10.99,0.2,0,5
55000,MORTGAGE,4.0,A,12500,5.99,0.23,0,1
48000,MORTGAGE,5.0,B,5000,10.36,0.1,0,6
28800,OWN,2.0,A,9250,8.9,0.32,0,1
72000,MORTGAGE,7.0,A,8000,8.49,0.11,0,3
60000,MORTGAGE,9.0,D,4000,14.96,0.07,0,10
90000,MORTGAGE,4.0,B,5000,10.99,0.06,0,2
69600,MORTGAGE,9.0,A,5000,7.9,0.07,0,1
50000,MORTGAGE,0.0,C,5000,13.57,0.1,0,12
55200,MORTGAGE,7.0,B,7000,10.65,0.13,0,2
30000,OWN,2.0,C,8000,14.22,0.27,0,3
29120,RENT,0.0,B,5000,10.99,0.17,0,2
41600,RENT,3.0,A,6000,6.03,0.15,0,5
59500,MORTGAGE,5.0,C,11000,13.57,0.18,0,2
61656,RENT,4.0,B,15000,10.36,0.24,0,1
90000,RENT,2.0,B,7000,11.71,0.08,0,3
100000,MORTGAGE,1.0,A,16000,6.54,0.16,0,6
148080,RENT,0.0,C,20000,12.29,0.14,0,10
40000,RENT,2.0,B,9000,11.99,0.23,0,2
60000,MORTGAGE,5.0,B,12000,11.99,0.2,0,6
20000,RENT,2.0,A,5000,6.99,0.25,0,1
40000,OWN,6.0,A,5600,7.9,0.14,0,1
112689,MORTGAGE,10.0,B,24000,10.99,0.21,0,3
55000,MORTGAGE,14.0,A,10000,7.49,0.18,0,3
48000,MORTGAGE,0.0,C,5400,14.35,0.11,0,2
75000,RENT,10.0,C,12000,12.68,0.16,0,6
70000,RENT,8.0,C,5000,13.98,0.07,0,12
58650,RENT,4.0,D,10000,14.09,0.14,1,11
33600,RENT,12.0,A,3000,5.42,0.09,0,5
49000,RENT,0.0,D,12000,15.31,0.24,1,9
91800,MORTGAGE,13.0,B,8400,11.99,0.09,0,5
100000,MORTGAGE,8.0,D,14000,15.62,0.14,0,1
96000,RENT,6.0,B,17400,11.71,0.18,0,2
26000,RENT,1.0,D,2400,15.65,0.09,1,8
99518,MORTGAGE,8.0,A,8000,7.14,0.08,0,3
75000,RENT,13.0,A,10000,6.92,0.13,0,6
120000,MORTGAGE,13.0,B,6000,11.71,0.05,0,1
75000,RENT,0.0,A,20000,6.91,0.27,0,2
50000,RENT,2.0,B,5000,10.38,0.1,0,5
69743,MORTGAGE,3.0,B,3000,9.91,0.04,0,1
130000,MORTGAGE,0.0,D,25000,14.96,0.19,0,9
57996,RENT,2.0,B,4000,10.75,0.07,0,2
79650,RENT,3.0,E,6000,16.32,0.09,1,3
30000,MORTGAGE,4.0,B,5500,11.49,0.18,0,4
120000,RENT,0.0,B,30000,12.69,0.25,0,6
40000,RENT,7.0,B,5400,9.99,0.14,0,2
84000,RENT,5.0,A,6000,8.94,0.07,0,2
37000,MORTGAGE,1.0,A,7000,8.49,0.19,1,3
60000,MORTGAGE,7.0,B,5000,11.36,0.08,0,2
32000,RENT,1.0,B,5000,10.36,0.16,0,5
35004,RENT,0.0,A,11000,8.94,0.31,0,1
50000,OWN,5.0,C,7000,13.47,0.14,0,1
62000,MORTGAGE,0.0,A,6000,7.51,0.1,0,2
75000,RENT,9.0,A,9200,6.03,0.12,0,5
55000,RENT,7.0,A,10000,8.94,0.18,0,2
60000,MORTGAGE,9.0,A,8000,7.14,0.13,0,3
60000,MORTGAGE,0.0,B,4800,11.49,0.08,0,3
35000,RENT,1.0,D,3500,16.29,0.1,1,3
50000,OWN,2.0,A,16800,7.88,0.32,0,3
70000,MORTGAGE,12.0,A,15000,6.03,0.21,0,6
33600,RENT,4.0,C,4000,13.72,0.12,0,2
65000,MORTGAGE,7.0,A,5000,7.4,0.08,0,3
70000,RENT,1.0,C,7000,13.79,0.1,0,11
50000,RENT,0.0,C,3000,13.22,0.06,0,9
120000,MORTGAGE,11.0,A,16000,8.94,0.13,0,4
65000,RENT,0.0,C,6000,13.35,0.09,0,2
25000,RENT,1.0,C,5000,12.84,0.2,0,1
72000,RENT,9.0,C,25000,12.99,0.35,1,10
26400,RENT,5.0,A,6000,8.59,0.23,0,1
45000,RENT,2.0,B,5000,10.0,0.11,0,2
54990,RENT,1.0,C,10000,14.72,0.18,0,9
96000,MORTGAGE,10.0,C,10000,12.73,0.1,0,12
38000,OWN,0.0,C,13250,12.87,0.36,0,5
35000,OWN,2.0,B,8000,11.11,0.23,0,2
150000,MORTGAGE,12.0,C,21000,13.49,0.14,0,12
25000,RENT,3.0,B,9000,10.99,0.37,1,6
18000,RENT,0.0,B,1500,11.14,0.08,0,5
66000,MORTGAGE,4.0,B,10000,10.62,0.15,0,2
60000,RENT,1.0,C,4800,12.68,0.08,0,4
40000,MORTGAGE,4.0,A,10000,7.51,0.25,0,3
30000,RENT,5.0,A,5000,6.62,0.17,0,5
43000,MORTGAGE,4.0,A,6625,7.66,0.15,0,6
25000,OWN,1.0,B,3000,10.99,0.12,0,3
55900,RENT,2.0,B,17000,10.37,0.3,0,2
60000,MORTGAGE,6.0,A,10000,7.49,0.17,0,6
45000,RENT,1.0,A,12800,7.51,0.29,1,3
120000,OWN,12.0,A,15000,6.03,0.12,0,3
116664,RENT,8.0,B,10000,10.75,0.09,0,2
95000,MORTGAGE,2.0,B,7000,11.49,0.07,0,2
48000,MORTGAGE,8.0,B,5000,11.36,0.1,0,1
75000,MORTGAGE,2.0,C,20000,12.73,0.27,0,2
37800,MORTGAGE,5.0,A,7000,5.79,0.19,0,4
40000,RENT,3.0,A,7000,8.0,0.17,0,2
45000,RENT,3.0,D,8000,15.7,0.18,0,8
31200,RENT,2.0,B,15000,10.71,0.48,1,6
72000,MORTGAGE,8.0,B,12000,11.89,0.17,0,3
55000,RENT,10.0,B,8000,12.21,0.15,0,1
85000,RENT,3.0,C,10000,12.87,0.12,0,9
85000,RENT,7.0,A,10000,7.88,0.12,0,2
